name,class,subject_id
Number Name,class-2,mathematics
Number Sense,class-2,mathematics
Numerals,class-2,mathematics
Addition,class-2,mathematics
Substraction,class-2,mathematics
Length,class-2,mathematics
Weight,class-2,mathematics
Money,class-2,mathematics
Time Geometrical Skill,class-2,mathematics
Number Name,class-3,mathematics
Number Sense,class-3,mathematics
Numerals,class-3,mathematics
Substraction,class-3,mathematics
Measurement of Length,class-3,mathematics
Weight,class-3,mathematics
Money,class-3,mathematics
Time and Temperature,class-3,mathematics
Calendar,class-3,mathematics
Point,class-3,mathematics
Line and Plane Figures,class-3,mathematics
Problems based on Figures,class-3,mathematics
,,mathematics
Numerals,class-4,mathematics
Number Name,Class-4,mathematics
Number Sense,Class-4,mathematics
Compuation Operations,Class-4,mathematics
Addition,class-4,mathematics
Substraction,Class-4,mathematics
Multiplication,class-4,mathematics
Division,class-4,mathematics
Fractions,class-4,mathematics
Length,class-4,mathematics
Weight,class-4,mathematics
Capacity,class-4,mathematics
Quantity,class-4,mathematics
Money,class-4,mathematics
Time and Temperature,class-4,mathematics
Calender,class-4,mathematics
Geometry,class-4,mathematics
Point,class-4,mathematics
Problems Based on Figures,class-4,mathematics
Straight Lines and Curved Lines,class-4,mathematics
Geometrical Shapes,class-4,mathematics
,,mathematics
Numerals,Class-5,mathematics
Number Name,Class-5,mathematics
Number Sense,Class-5,mathematics
Place Value,Class-5,mathematics
Roman Numerals,Class-5,mathematics
Computation Operations,Class-5,mathematics
Addition,Class-5,mathematics
Substraction,Class-5,mathematics
Multiplication,Class-5,mathematics
Division,Class-5,mathematics
Factors,Class-5,mathematics
Multiples,Class-5,mathematics
Fractions Measurements,Class-5,mathematics
Length,Class-5,mathematics
Mass,Class-5,mathematics
Capacity,Class-5,mathematics
Temperature Meaurements,Class-5,mathematics
Time,Class-5,mathematics
Pictorial Representation of Data,Class-5,mathematics
Measurements,Class-5,mathematics
Money,Class-5,mathematics
Geometry,Class-5,mathematics
Closed and Open Figures,Class-5,mathematics
Perimeter of Various Shapes,Class-5,mathematics
,,mathematics
Numerals,Class-6,mathematics
Number Name,Class-6,mathematics
Number Sense,Class-6,mathematics
Roman Numerals,Class-6,mathematics
Computation Operations,Class-6,mathematics
Addition,Class-6,mathematics
Substraction,Class-6,mathematics
Multiplication,Class-6,mathematics
Division,Class-6,mathematics
Factors,Class-6,mathematics
Multiples,Class-6,mathematics
Fractions Measurements,Class-6,mathematics
Length,Class-6,mathematics
Mass,Class-6,mathematics
Capacity,Class-6,mathematics
Volume,Class-6,mathematics
Temperature,Class-6,mathematics
Measurements,Class-6,mathematics
Money,Class-6,mathematics
Time,Class-6,mathematics
Relationship Between Seconds,Class-6,mathematics
Minutes and Hours,Class-6,mathematics
Geometry,Class-6,mathematics
"Perimeter and Area of Rectangle,Square",Class-6,mathematics
Symmetry and Data Handling,Class-6,mathematics
Decimals,Class-6,mathematics
,,mathematics
Knowing your Numbers,Class-7,mathematics
Whole Numbers,Class-7,mathematics
Integers,Class-7,mathematics
Playing with Numbers,Class-7,mathematics
Computation Operations,Class-7,mathematics
Addition,Class-7,mathematics
Substraction,Class-7,mathematics
Multiplication,Class-7,mathematics
Division,Class-7,mathematics
Length,Class-7,mathematics
Mass,Class-7,mathematics
Capacity,Class-7,mathematics
Volume,Class-7,mathematics
Temperature,Class-7,mathematics
Relationship Between Seconds,Class-7,mathematics
Fractions,Class-7,mathematics
Decimals,Class-7,mathematics
Basic Geometrical Ideas,Class-7,mathematics
Algebra,Class-7,mathematics
Ratio and Proportion,Class-7,mathematics
Understanding Elementary Shapes,Class-7,mathematics
Mensuration,Class-7,mathematics
Symmetry and Practical Geometry,Class-7,mathematics
Data Handling,Class-7,mathematics
,,mathematics
Number System,Class-8,mathematics
Integers,Class-8,mathematics
Rational Numbbers,Class-8,mathematics
Fractions,Class-8,mathematics
Decimals,Class-8,mathematics
Exponents and Powers,Class-8,mathematics
Comapring Quantities,Class-8,mathematics
Simple Equations,Class-8,mathematics
Algebraic Expressions,Class-8,mathematics
Concept of Percentage,Class-8,mathematics
Profit and Loss,Class-8,mathematics
Simple Interest,Class-8,mathematics
Lines and Angles,Class-8,mathematics
Triangle and its Properties,Class-8,mathematics
Congruence of Triangles,Class-8,mathematics
Mensuration,Class-8,mathematics
Geomtry and Solid Shapes,Class-8,mathematics
Symmetry and Practical Geometry,Class-8,mathematics
Data Handling,Class-8,mathematics
,,mathematics
Number System,Class-9,mathematics
Integers,Class-9,mathematics
Rational Numbbers,Class-9,mathematics
Fractions,Class-9,mathematics
Decimals,Class-9,mathematics
Exponents and Powers,Class-9,mathematics
Square and Square Roots,Class-9,mathematics
Cube and Cube roots,Class-9,mathematics
Direct and Inverse Proportions,Class-9,mathematics
Linear Equations in one Variables,Class-9,mathematics
Factorization,Class-9,mathematics
Algebraic Expressions and Identities,Class-9,mathematics
Concept of Percentage,Class-9,mathematics
Profit and Loss,Class-9,mathematics
Simple Interest,Class-9,mathematics
Lines and Angles,Class-9,mathematics
Triangle and its Properties,Class-9,mathematics
Congruence of Triangles,Class-9,mathematics
Visualizing Solid Shapes,Class-9,mathematics
Understanding Quandrilaterals,Class-9,mathematics
Mensuration,Class-9,mathematics
Symmetry and Practical Geometry,Class-9,mathematics
Data Handling,Class-9,mathematics
Intro to Graphs,Class-9,mathematics
Everyday Mathematics,Class-9,mathematics
,,mathematics
Square and Square Roots,Class-10,mathematics
Cube and Cube roots,Class-10,mathematics
Direct and Inverse Proportions,Class-10,mathematics
Linear Equations in one Variables,Class-10,mathematics
Factorization,Class-10,mathematics
Algebraic Expressions and Identities,Class-10,mathematics
Intro to Euclids Geometry,Class-10,mathematics
Lines and Angles,Class-10,mathematics
Triangle and its Properties,Class-10,mathematics
Congruence of Triangles,Class-10,mathematics
Visualizing Solid Shapes,Class-10,mathematics
Circles,Class-10,mathematics
Quadilaterals,Class-10,mathematics
Areas of Parallelogram and Triangles,Class-10,mathematics
Coordinate Geometry,Class-10,mathematics
Surface areas and Volumes,Class-10,mathematics
Statistics and Probability,Class-10,mathematics
Intro to Graphs,Class-10,mathematics
Everyday Mathematics,Class-10,mathematics
,,mathematics
Number System,Class-11,mathematics
Real Numbers,Class-11,mathematics
Polynomials,Class-11,mathematics
Pair of Linear Equations in two Variables,Class-11,mathematics
Intro to Euclids Geometry,Class-11,mathematics
Lines and Angles,Class-11,mathematics
Triangle and its Properties,Class-11,mathematics
Congruence of Triangles,Class-11,mathematics
Visualizing Solid Shapes,Class-11,mathematics
Circles and Constructions,Class-11,mathematics
Quadilaterals,Class-11,mathematics
Areas of Parallelogram and Triangles,Class-11,mathematics
Areas of circles & surface areas and volume,Class-11,mathematics
Coordinate Geometry,Class-11,mathematics
Surface areas and Volumes,Class-11,mathematics
Statistics and Probability,Class-11,mathematics
Intro to Trigonometry and its Applications,Class-11,mathematics
Everyday Mathematics,Class-11,mathematics
,,
Living and Non-Loving Things,Class-2,science
Plants,Class-2,science
Animals,Class-2,science
Human Beings and Their Needs,Class-2,science
Good Habits and Safety Rules,Class-2,science
Air and Water,Class-2,science
Weather and The Sky,Class-2,science
,,science
Living and Non-living things,Class-3,science
Plants and Animals,Class-3,science
Good Habits and Safety Rules,Class-3,science
"Air, Water and Rocks",Class-3,science
"Weather, Earth and Universe",Class-3,science
Human Body,Class-3,science
Food,Class-3,science
Housing and Clothing,Class-3,science
Family and Festivals,Class-3,science
Occupations,Class-3,science
Transport and Communication,Class-3,science
,,science
Human Body,Class-4,science
Our Environment,Class-4,science
"Food, Housing and Clothing",Class-4,science
Family and Festivals,Class-4,science
